iter	MultiClass	TotalF1	Accuracy
288	0.9192293491	0.5587398536	0.5653544276
289	0.9192204924	0.5587418811	0.5653597772
290	0.9192172132	0.5587810237	0.5653829591
291	0.9192144748	0.5587683721	0.565378501
292	0.9192118454	0.5587726054	0.5653856339
293	0.9192032625	0.5587952272	0.5654043576
294	0.9191990432	0.5587965701	0.5654159486
295	0.9191962894	0.5587873985	0.5654061409
296	0.9191869754	0.5587899593	0.5654070325
297	0.919182843	0.5587964925	0.5654168402
298	0.9191819071	0.5588033328	0.565423973
299	0.9191735612	0.558819004	0.5654364555
300	0.9191719971	0.5588271802	0.5654382388
301	0.9191647272	0.5588126747	0.5654257562
302	0.9191579171	0.5588203165	0.5654311059
303	0.9191533609	0.5588482638	0.5654578541
304	0.9191502893	0.5588373391	0.5654418052
305	0.9191495042	0.5588459628	0.5654498297
306	0.9191470971	0.5588342304	0.5654364555
307	0.9191394609	0.5588508799	0.5654578541
308	0.919128864	0.5588458417	0.5654578541
309	0.9191246108	0.5588511329	0.5654587457
310	0.91912014	0.5588531918	0.5654596373
311	0.9191166147	0.5588784062	0.5654712283
312	0.9191139486	0.5588776158	0.5654703366
313	0.9191082747	0.558893284	0.565485494
314	0.9191037319	0.5588788055	0.5654667702
315	0.9191030469	0.558886434	0.5654703366
316	0.9190966809	0.5589108277	0.5654828192
317	0.9190892153	0.5589097919	0.5654792527
318	0.9190876527	0.5589199477	0.5654926268
319	0.9190843033	0.5589052942	0.5654792527
320	0.9190810054	0.5589052705	0.5654783611
321	0.9190751364	0.5589126715	0.5654828192
322	0.9190627216	0.5589427582	0.5655122422
323	0.9190593202	0.5589423411	0.5655211583
324	0.9190557644	0.5589404566	0.5655220499
325	0.919051097	0.5589454452	0.5655282912
326	0.9190447136	0.5589541964	0.5655318576
327	0.9190413333	0.5589432738	0.5655220499
328	0.9190398653	0.558950927	0.565530966
329	0.9190340998	0.5589371052	0.5655211583
330	0.919029933	0.5589435462	0.5655256163
331	0.9190279242	0.5589447627	0.5655256163
332	0.91902336	0.5589646091	0.5655452317
333	0.919018933	0.5589706284	0.5655487982
334	0.919013569	0.5589721517	0.5655523646
335	0.9190092318	0.5589893962	0.5655693051
336	0.9190068843	0.5589869323	0.5655630639
337	0.9190021827	0.5589906548	0.5655594975
338	0.9189974482	0.5590011368	0.5655684135
339	0.9189937957	0.5590014397	0.5655648471
340	0.9189894719	0.5589988777	0.5655657387
341	0.9189822221	0.5590268158	0.5655844625
342	0.9189736965	0.5590353883	0.5655942702
343	0.9189693187	0.5590117611	0.5655755464
344	0.9189619544	0.5590107416	0.5655746548
345	0.9189569392	0.5590063075	0.5655791128
346	0.9189528982	0.5590000648	0.56557198
347	0.9189489677	0.5589979126	0.5655648471
348	0.9189478459	0.5590037607	0.5655701968
349	0.918943687	0.5589994371	0.5655693051
350	0.9189407307	0.5590075029	0.565576438
351	0.9189370275	0.5589940628	0.5655630639
352	0.9189365097	0.558976709	0.5655612807
353	0.918930138	0.5589861044	0.5655693051
354	0.9189267973	0.5589925295	0.565576438
355	0.9189244658	0.5589950145	0.565576438
356	0.9189196983	0.5589830922	0.5655594975
